|        7.000000e+00|      1.00000000e+00|      4.00000000e+00|      5.00000000e+00|
|      8.00000000e+00|      6.00000000e+00|      4.77000000e+02|      6.50000000e+01|
|      1.80000000e+01|      4.60000000e+01|      3.21000000e+02|      8.00000000e+00|
|      1.19900000e+01|      2.21400000e+01|      8.84600000e+01|      9.97940000e+02|
|      1.00000000e-03|      6.65400000e+01|      8.40000000e+01|      1.20000000e+01|
|      5.50000000e+01|      1.00000000e+02|      1.10000000e+03|      1.00000000e+03|
|      4.58000000e+02|      7.60000000e+01|      3.00000000e+00|      4.60000000e+01|
|      4.00000000e+00|      6.40000000e+01|      6.00000000e+00|      2.80000000e+01|
|      2.10000000e+01|      7.00000000e+00|      2.40000000e+01|      8.96000000e+02|
|      2.00000000e+00|      8.00000000e+00|      6.00000000e+00|      8.00000000e+00|
|      4.20000000e+01|      6.90000000e+01|      8.00000000e+00|      4.10000000e+01|
|      6.50000000e+01|      9.00000000e+00|      7.00000000e+00|      1.50000000e+01|
|      8.00000000e+00|      4.10000000e+01|      6.00000000e+00|      8.00000000e+00|
|      4.00000000e+00|      2.00000000e+00|      9.00000000e+00|      7.40000000e+01|
|      8.86600000e+01|      6.66600000e+01|      9.00000000e+00|      5.00000000e+00|
|      7.00000000e+00|      1.00000000e+00|      8.40000000e+01|      6.00000000e+00|
|      6.40000000e+01|      6.84000000e+02|      6.10000000e+01|      6.54000000e+02|
|      1.68400000e+03|      6.81000000e+02|      5.61000000e+02|      6.41650000e+04|
|      1.50000000e+01|      5.50000000e+01|      9.92000000e+01|      1.10000000e+01|
